Word,Frequency
you,438
i,438
the,377
it,303
is,266
not,250
to,231
a,216
and,202
of,175
that,154
do,153
have,124
what,123
in,87
would,87
are,83
know,83
if,78
all,75
be,69
can,67
your,66
am,65
they,64
so,64
but,62
oh,57
at,56
with,54
she,54
me,53
will,53
as,53
was,52
no,51
for,50
there,49
one,48
my,48
like,47
did,46
on,42
we,42
why,41
course,38
he,36
when,35
never,35
see,34
here,34
her,34
think,34
just,34
off,33
about,33
only,33
say,33
then,32
now,32
go,32
tell,32
well,32
how,30
queen,29
time,29
out,29
"""""",29
must,28
should,28
had,28
very,28
come,27
things,26
way,25
them,25
could,25
get,25
said,25
please,25
thing,24
this,23
been,23
where,23
take,23
does,22
or,21
mean,21
want,20
too,20
same,20
any,20
an,20
were,20
head,19
day,19
us,19
again,19
better,19
look,18
two,18
much,18
than,18
alice,17
let,17
may,17
his,17
more,17
their,16
by,16
who,16
some,16
good,16
got,16
shall,16
first,16
yes,15
before,15
call,15
from,15
name,15
yet,15
him,15
little,14
up,14
other,14
make,14
dear,14
down,14
nothing,14
always,13
might,13
next,13
majesty,13
suppose,13
cut,13
through,12
room,12
over,12
sort,12
which,12
right,11
has,11
tea,11
because,11
begin,11
done,11
such,11
nobody,11
mad,11
into,10
keep,10
going,10
glass,10
lessons,10
sure,10
remember,10
end,10
till,10
sea,10
yourself,9
anything,9
something,9
ever,9
try,9
answer,9
quite,9
give,9
ask,9
round,9
went,9
game,8
red,8
myself,8
people,8
play,8
looking,8
talk,8
child,8
wish,8
our,8
pg,8
after,8
turtle,8
heard,8
tried,8
faster,8
side,8
really,8
jam,8
business,8
ought,8
dormouse,8
moral,8
white,7
words,7
speak,7
perhaps,7
even,7
being,7
believe,7
long,7
enough,7
duchess,7
butter,7
put,7
temper,7
makes,7
great,7
mine,7
help,7
means,7
sit,7
old,7
many,7
sing,7
meaning,7
treacle,7
dog,7
witness,7
queens,6
hearts,6
bit,6
wrong,6
getting,6
today,6
croquet,6
without,6
rather,6
understand,6
best,6
square,6
else,6
doing,6
least,6
bye,6
sir,6
bread,6
care,6
trial,6
word,6
use,6
meant,6
ah,6
goes,6
everybody,6
once,6
used,6
reason,6
whiting,6
draw,6
door,6
important,6
remain,6
funny,5
four,5
king,5
eyes,5
find,5
leave,5
home,5
mock,5
cook,5
afraid,5
thinking,5
indeed,5
instance,5
read,5
mind,5
everything,5
fast,5
another,5
five,5
however,5
seen,5
last,5
every,5
matter,5
poor,5
stupid,5
turn,5
question,5
deal,5
under,5
hjckrrh,5
school,5
fact,5
lobsters,5
clock,5
own,5
cat,5
pig,5
road,5
man,5
gone,5
deny,5
pawn,4
along,4
small,4
move,4
wants,4
bite,4
against,4
nice,4
fun,4
alone,4
walk,4
finger,4
tongue,4
write,4
book,4
dreaming,4
living,4
ran,4
soup,4
pepper,4
rabbit,4
wanted,4
late,4
dinner,4
dare,4
exactly,4
either,4
chess,4
world,4
run,4
place,4
somewhere,4
three,4
watch,4
hours,4
hair,4
lady,4
week,4
works,4
both,4
happen,4
punished,4
curious,4
executed,4
called,4
ground,4
hands,4
back,4
seven,4
beg,4
knew,4
most,4
less,4
different,4
master,4
night,4
meet,4
together,4
bone,4
finished,4
taught,4
asking,4
french,4
certainly,4
bottom,4
learn,4
nine,4
lobster,4
dance,4
song,4
crumbs,4
shoes,4
came,4
coming,4
march,4
civil,4
asleep,4
twinkling,4
live,4
knocking,4
talking,4
its,4
cheshire,4
away,4
dee,4
nonsense,4
consider,4
somebody,4
written,4
hers,4
subtraction,4
verdict,4
evidence,4
unimportant,4
took,3
army,3
win,3
heads,3
big,3
playing,3
cross,3
hard,3
sometimes,3
wonder,3
fire,3
unless,3
tired,3
easy,3
lost,3
ways,3
while,3
mouth,3
manage,3
miss,3
hold,3
seems,3
pretty,3
though,3
generally,3
takes,3
twice,3
stay,3
thank,3
gryphon,3
remark,3
glad,3
happened,3
yesterday,3
rule,3
confusing,3
backwards,3
memory,3
fan,3
whiskers,3
chop,3
ears,3
fit,3
candle,3
stand,3
shape,3
yours,3
egg,3
sense,3
baby,3
riddles,3
spoken,3
proud,3
subject,3
asked,3
beautiful,3
belt,3
cravat,3
pardon,3
stop,3
nose,3
tart,3
drowning,3
young,3
finish,3
tortoise,3
music,3
drawling,3
lived,3
idea,3
change,3
swim,3
figure,3
often,3
tails,3
mouths,3
thought,3
boots,3
made,3
told,3
porpoise,3
invited,3
begun,3
eat,3
days,3
english,3
whisper,3
half,3
twinkle,3
hardly,3
beginning,3
story,3
wake,3
these,3
water,3
begins,3
muchness,3
party,3
pleased,3
messengers,3
hay,3
saw,3
mustard,3
usual,3
putting,3
seem,3
otherwise,3
trouble,3
explain,3
size,3
invite,3
gave,3
sums,3
addition,3
letter,3
fiddle,3
de,3
tarts,3
court,3
jury,3
uncle,2
chessboard,2
squares,2
tries,2
battle,2
soldiers,2
kings,2
points,2
stiff,2
cards,2
beat,2
cheat,2
herself,2
pretend,2
kitty,2
house,2
comes,2
books,2
milk,2
awful,2
lot,2
mischief,2
sister,2
garden,2
breath,2
hush,2
cutting,2
fingers,2
saves,2
lose,2
governess,2
language,2
daresay,2
marked,2
easily,2
eighth,2
nearly,2
passed,2
ten,2
rest,2
country,2
running,2
hot,2
